"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/01/2023","387.57","379.14","387.57","376.27","59.79K","2.36%"
"30/01/2023","378.63","378.74","387.43","374.18","72.88K","-0.06%"
"27/01/2023","378.87","379.27","387.81","378.20","46.37K","-0.02%"
"19/01/2023","378.94","373.53","379.98","373.04","51.80K","1.45%"
"18/01/2023","373.53","365.94","375.36","365.94","57.66K","1.98%"
"17/01/2023","366.26","354.14","366.26","352.04","50.40K","3.42%"
"16/01/2023","354.14","354.21","356.78","351.68","27.46K","-0.02%"
"13/01/2023","354.21","355.19","360.50","352.67","43.27K","-0.28%"
"12/01/2023","355.19","353.26","356.86","352.60","37.99K","0.55%"
"11/01/2023","353.26","348.78","358.51","345.55","41.14K","1.06%"
"10/01/2023","349.57","345.64","352.12","338.17","31.77K","0.80%"
"09/01/2023","346.81","350.53","355.46","346.10","29.03K","-0.98%"
"06/01/2023","350.26","355.50","359.86","346.94","43.67K","-1.70%"
"05/01/2023","356.30","354.14","359.33","349.87","38.41K","0.43%"
"04/01/2023","354.77","353.58","360.31","348.72","50.37K","0.53%"
"03/01/2023","352.91","330.07","352.92","328.35","50.03K","6.59%"
"30/12/2022","331.09","331.45","336.58","330.76","22.87K","-0.41%"
"29/12/2022","332.45","334.50","339.07","331.32","26.96K","-1.16%"
"28/12/2022","336.34","330.69","339.37","330.47","30.97K","1.30%"
"27/12/2022","332.02","317.11","332.22","312.86","43.07K","4.10%"
"26/12/2022","318.95","338.38","339.35","318.50","58.01K","-5.74%"
"23/12/2022","338.38","340.12","341.66","335.41","28.72K","-0.51%"
"22/12/2022","340.12","334.12","344.50","325.78","40.13K","0.73%"
"21/12/2022","337.65","346.83","353.18","329.43","59.39K","-2.89%"
"20/12/2022","347.69","355.65","363.77","339.27","84.75K","-3.49%"
"19/12/2022","360.26","361.55","377.13","360.26","73.24K","-0.78%"
"16/12/2022","363.09","361.05","368.00","355.93","69.20K","0.37%"
"15/12/2022","361.74","362.28","366.25","356.47","50.61K","-0.20%"
"14/12/2022","362.45","365.82","376.17","360.68","56.44K","-0.92%"
"13/12/2022","365.82","352.61","365.82","344.24","69.62K","2.89%"
"12/12/2022","355.54","376.05","380.65","355.54","82.73K","-4.79%"
"09/12/2022","373.43","367.30","375.34","362.67","69.69K","1.75%"
"08/12/2022","366.99","351.79","370.15","347.11","67.46K","4.18%"
"07/12/2022","352.27","361.23","364.65","349.08","74.48K","-2.48%"
"06/12/2022","361.23","375.47","384.73","361.23","130.30K","-4.06%"
"05/12/2022","376.50","366.35","380.02","365.59","80.99K","3.52%"
"02/12/2022","363.71","348.29","363.71","341.60","90.14K","4.71%"
"01/12/2022","347.35","346.21","360.74","343.86","83.75K","0.58%"
"30/11/2022","345.36","341.64","350.39","331.79","58.58K","0.03%"
"29/11/2022","345.26","336.18","347.33","330.30","85.79K","2.92%"
"28/11/2022","335.48","316.83","335.71","314.82","54.68K","5.98%"
"25/11/2022","316.55","300.01","317.14","294.69","37.45K","4.79%"
"24/11/2022","302.08","297.90","302.08","291.47","40.22K","1.40%"
"23/11/2022","297.90","305.99","309.69","297.90","37.12K","-2.73%"
"22/11/2022","306.27","302.13","317.35","297.29","65.42K","1.37%"
"21/11/2022","302.13","292.12","303.58","284.82","32.14K","2.28%"
"18/11/2022","295.39","283.58","297.58","274.91","67.97K","2.98%"
"17/11/2022","286.85","278.76","290.26","271.38","45.46K","3.43%"
