"Date","Close","Open","High","Low","Vol","Percentage Change"
"15/01/2013","461.42","459.24","461.42","455.93","88.78K","0.53%"
"14/01/2013","458.97","458.08","462.08","455.51","69.55K","-0.80%"
"11/01/2013","462.69","468.39","469.16","461.74","75.12K","0.56%"
"10/01/2013","460.12","447.99","460.12","444.08","79.40K","2.53%"
"09/01/2013","448.77","447.16","457.75","442.26","134.77K","0.36%"
"08/01/2013","447.16","437.25","447.16","437.15","121.10K","2.99%"
"07/01/2013","434.19","428.53","434.64","426.86","78.32K","1.91%"
"04/01/2013","426.06","418.75","426.48","417.50","64.85K","1.62%"
"03/01/2013","419.27","420.68","420.68","413.68","99.83K","0.22%"
"02/01/2013","418.35","415.50","419.05","414.41","64.29K","1.12%"
"28/12/2012","413.73","409.49","413.73","408.32","84.32K","0.92%"
"27/12/2012","409.97","408.32","410.68","406.58","79.45K","0.95%"
"26/12/2012","406.10","399.43","406.10","398.31","59.62K","1.19%"
"25/12/2012","401.34","401.01","401.72","398.09","50.85K","0.41%"
"24/12/2012","399.71","397.25","400.22","396.57","73.07K","0.74%"
"21/12/2012","396.78","397.49","400.27","394.27","76.82K","-0.73%"
"20/12/2012","399.68","399.13","400.71","397.86","82.89K","0.27%"
"19/12/2012","398.59","395.84","398.59","395.34","72.58K","1.32%"
"18/12/2012","393.39","396.21","396.45","392.34","52.37K","-0.06%"
"17/12/2012","393.63","391.37","395.30","391.31","67.40K","0.36%"
"14/12/2012","392.21","392.23","394.61","392.05","43.16K","0.26%"
"13/12/2012","391.19","393.04","393.81","390.57","44.11K","0.03%"
"12/12/2012","391.08","388.41","393.13","386.46","47.17K","0.44%"
"11/12/2012","389.37","386.25","389.37","385.81","40.40K","0.69%"
"10/12/2012","386.69","384.84","387.67","383.53","44.50K","0.75%"
"07/12/2012","383.80","386.44","386.60","383.80","33.52K","-0.49%"
"06/12/2012","385.69","385.59","386.62","384.53","36.30K","0.00%"
"05/12/2012","385.69","382.10","387.05","382.10","40.54K","0.94%"
"04/12/2012","382.10","379.02","382.10","377.89","29.90K","0.75%"
"03/12/2012","379.27","377.94","379.27","375.78","21.90K","0.38%"
"30/11/2012","377.82","380.01","380.18","377.52","45.54K","-0.10%"
"29/11/2012","378.20","377.45","378.62","376.93","15.95K","0.64%"
"28/11/2012","375.79","376.13","377.32","374.15","29.71K","-0.29%"
"27/11/2012","376.89","377.77","378.62","376.08","18.73K","-0.27%"
"26/11/2012","377.90","382.43","382.62","377.82","22.36K","-1.00%"
"23/11/2012","381.71","383.22","384.25","381.14","21.45K","-0.39%"
"22/11/2012","383.22","383.44","384.10","382.57","18.23K","-0.17%"
"21/11/2012","383.87","385.18","385.80","382.72","21.61K","-0.32%"
"20/11/2012","385.10","383.23","385.37","381.84","24.47K","0.46%"
"19/11/2012","383.32","384.83","386.22","382.42","22.55K","-0.62%"
"16/11/2012","385.71","385.83","386.25","383.16","22.58K","-0.31%"
"15/11/2012","386.91","389.84","390.65","386.60","28.76K","-0.21%"
"14/11/2012","387.71","384.74","389.40","384.61","23.96K","0.65%"
"13/11/2012","385.22","387.52","388.43","385.15","28.50K","-0.87%"
"12/11/2012","388.62","386.71","388.94","385.66","41.91K","0.49%"
"09/11/2012","386.71","385.61","386.79","383.72","24.76K","0.29%"
"08/11/2012","385.60","380.32","385.60","380.13","23.29K","1.23%"
"07/11/2012","380.90","377.83","381.22","375.75","31.15K","1.05%"
"06/11/2012","376.95","377.27","379.05","375.12","46.23K","-0.08%"
"05/11/2012","377.27","372.39","378.45","372.39","30.99K","0.54%"
"02/11/2012","375.26","378.74","380.33","374.98","59.15K","-3.27%"
"01/11/2012","387.95","388.10","389.74","387.95","46.10K","-0.12%"
"31/10/2012","388.42","388.50","390.05","387.39","57.63K","-0.37%"
"30/10/2012","389.86","391.13","392.17","389.64","23.08K","-0.38%"
"29/10/2012","391.36","390.96","392.60","390.63","29.76K","-0.09%"
"26/10/2012","391.70","390.05","393.13","389.50","22.93K","0.46%"
"25/10/2012","389.92","393.79","394.54","389.92","43.00K","-1.40%"
"24/10/2012","395.45","397.69","398.43","395.24","34.21K","-0.57%"
"23/10/2012","397.71","397.27","399.22","395.89","35.30K","0.18%"
"22/10/2012","397.00","397.77","398.34","394.69","45.95K","-0.31%"
"19/10/2012","398.23","399.52","400.46","394.98","52.60K","-0.07%"
"18/10/2012","398.51","395.94","399.55","395.94","34.99K","0.38%"
"17/10/2012","397.02","399.22","400.97","395.91","59.13K","-0.55%"
"16/10/2012","399.22","392.60","399.22","392.60","41.18K","1.96%"
"15/10/2012","391.56","392.88","394.19","390.72","36.04K","-0.25%"
"12/10/2012","392.54","394.17","395.01","392.26","55.38K","-0.42%"
"11/10/2012","394.19","395.32","397.55","393.87","45.28K","-0.12%"
"10/10/2012","394.66","392.38","394.66","391.75","37.97K","0.25%"
"09/10/2012","393.67","394.36","394.87","392.26","38.75K","0.06%"
